epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,108.112,1.55417,1.99707,1.06045,1.08176,0,0.63607,0.40123,0.45428,0.22533,0.63607,0.40123,0.43931,0.19969,1.73533,2.72097,1.41845,1.16085,0,0.0014456,0.0014456,0.0014456
44,110.141,1.50603,1.96109,1.02442,1.05417,0,0.63607,0.40123,0.45428,0.22533,0.63607,0.40123,0.43931,0.19969,1.73533,2.72097,1.41845,1.16085,0,0.0014324,0.0014324,0.0014324
45,112.259,1.53088,2.04915,1.00776,1.03952,0,0.41116,0.40984,0.26647,0.11389,0.44466,0.44262,0.29362,0.12181,1.68682,2.80071,2.40449,1.13428,0,0.0014192,0.0014192,0.0014192
46,114.349,1.49664,1.89456,1.02816,1.0815,0,0.41116,0.40984,0.26647,0.11389,0.44466,0.44262,0.29362,0.12181,1.68682,2.80071,2.40449,1.13428,0,0.001406,0.001406,0.001406
47,116.728,1.56745,2.12439,1.0693,1.06239,0,0.48595,0.57377,0.40921,0.19269,0.52984,0.44339,0.41565,0.18899,1.73236,2.77576,1.3689,1.21976,0,0.0013928,0.0013928,0.0013928
48,118.824,1.43223,1.86799,0.9755,1.02929,0,0.48595,0.57377,0.40921,0.19269,0.52984,0.44339,0.41565,0.18899,1.73236,2.77576,1.3689,1.21976,0,0.0013796,0.0013796,0.0013796
49,120.944,1.50692,1.95505,1.02948,1.06505,0,0.72723,0.39344,0.45999,0.22545,0.74155,0.40984,0.48852,0.21727,1.85136,2.82772,1.41015,1.25694,0,0.0013664,0.0013664,0.0013664
50,123.053,1.42836,1.85953,0.97425,1.05384,0,0.72723,0.39344,0.45999,0.22545,0.74155,0.40984,0.48852,0.21727,1.85136,2.82772,1.41015,1.25694,0,0.0013532,0.0013532,0.0013532
51,125.231,1.45727,1.95506,0.97112,1.03547,0,0.81918,0.39344,0.51042,0.25543,0.74401,0.36066,0.43252,0.21946,1.61812,2.84212,1.29994,1.13634,0,0.00134,0.00134,0.00134
52,127.326,1.41143,1.83178,0.94019,1.03191,0,0.81918,0.39344,0.51042,0.25543,0.74401,0.36066,0.43252,0.21946,1.61812,2.84212,1.29994,1.13634,0,0.0013268,0.0013268,0.0013268
