epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,131.302,1.49673,1.95972,1.01291,1.0596,0,0.6608,0.63333,0.60782,0.31162,0.64111,0.61667,0.59453,0.33796,1.53844,2.10016,1.53383,1.27045,0,0.0012872,0.0012872,0.0012872
56,133.323,1.61493,2.10176,1.04239,1.11222,0,0.6608,0.63333,0.60782,0.31162,0.64111,0.61667,0.59453,0.33796,1.53844,2.10016,1.53383,1.27045,0,0.001274,0.001274,0.001274
57,135.313,1.51896,1.93583,1.01484,1.09122,0,0.76243,0.68333,0.68167,0.37546,0.74268,0.66667,0.70546,0.38197,1.33815,1.89517,1.3811,1.1477,0,0.0012608,0.0012608,0.0012608
58,137.407,1.52166,1.84388,1.02611,1.06628,0,0.76243,0.68333,0.68167,0.37546,0.74268,0.66667,0.70546,0.38197,1.33815,1.89517,1.3811,1.1477,0,0.0012476,0.0012476,0.0012476
59,139.52,1.42252,1.76151,0.92922,1.04848,0,0.70513,0.7174,0.63908,0.36022,0.72492,0.73333,0.69529,0.37231,1.36688,1.78804,1.30546,1.16943,0,0.0012344,0.0012344,0.0012344
60,141.569,1.47619,1.79981,0.94647,1.04245,0,0.70513,0.7174,0.63908,0.36022,0.72492,0.73333,0.69529,0.37231,1.36688,1.78804,1.30546,1.16943,0,0.0012212,0.0012212,0.0012212
61,143.673,1.43355,1.86601,0.95489,1.05585,0,0.73427,0.7,0.65878,0.36953,0.76564,0.7,0.7069,0.39226,1.39841,1.80538,1.20363,1.15513,0,0.001208,0.001208,0.001208
62,145.962,1.37615,1.74889,0.91809,1.00431,0,0.73427,0.7,0.65878,0.36953,0.76564,0.7,0.7069,0.39226,1.39841,1.80538,1.20363,1.15513,0,0.0011948,0.0011948,0.0011948
63,148.021,1.40173,1.92889,0.88764,1.04852,0,0.77165,0.67593,0.68607,0.40857,0.77165,0.67593,0.72475,0.38862,1.34672,1.78633,1.11297,1.08991,0,0.0011816,0.0011816,0.0011816
64,150.061,1.47782,1.82532,1.00233,1.06332,0,0.77165,0.67593,0.68607,0.40857,0.77165,0.67593,0.72475,0.38862,1.34672,1.78633,1.11297,1.08991,0,0.0011684,0.0011684,0.0011684
65,152.166,1.48174,1.95392,0.97709,1.03101,0,0.7525,0.70951,0.7179,0.43003,0.74624,0.75,0.75648,0.41782,1.3135,1.7964,1.06781,1.0749,0,0.0011552,0.0011552,0.0011552
66,155.329,1.45835,1.81652,0.9129,1.03298,0,0.7525,0.70951,0.7179,0.43003,0.74624,0.75,0.75648,0.41782,1.3135,1.7964,1.06781,1.0749,0,0.001142,0.001142,0.001142
67,158.494,1.36835,1.75825,0.90308,1.02191,0,0.75229,0.63333,0.69786,0.4215,0.8014,0.67263,0.73108,0.43813,1.31219,1.8572,1.09756,1.08781,0,0.0011288,0.0011288,0.0011288
68,161.65,1.49905,1.97708,0.94654,1.02302,0,0.75229,0.63333,0.69786,0.4215,0.8014,0.67263,0.73108,0.43813,1.31219,1.8572,1.09756,1.08781,0,0.0011156,0.0011156,0.0011156
69,164.813,1.38604,1.72875,0.94245,1.04739,0,0.75212,0.65,0.67989,0.41993,0.75158,0.7,0.71287,0.41322,1.28627,1.71016,1.09888,1.13126,0,0.0011024,0.0011024,0.0011024
70,166.876,1.39908,1.7615,0.978,1.03549,0,0.75212,0.65,0.67989,0.41993,0.75158,0.7,0.71287,0.41322,1.28627,1.71016,1.09888,1.13126,0,0.0010892,0.0010892,0.0010892
71,168.953,1.39677,1.81118,0.88931,1.02516,0,0.77357,0.68333,0.71262,0.4539,0.7547,0.66667,0.71223,0.42958,1.21119,1.73288,1.08062,1.07591,0,0.001076,0.001076,0.001076
72,172.047,1.48867,1.83431,0.91461,1.02424,0,0.77357,0.68333,0.71262,0.4539,0.7547,0.66667,0.71223,0.42958,1.21119,1.73288,1.08062,1.07591,0,0.0010628,0.0010628,0.0010628
73,175.191,1.42843,1.8192,0.92768,1.02559,0,0.73206,0.68303,0.70165,0.45149,0.7639,0.70103,0.73528,0.44388,1.20721,1.73273,1.07752,1.03366,0,0.0010496,0.0010496,0.0010496
